tweetText,hashtags,user,date,state,latitude,longitude,sentiment
"Reacting to Democrat @JoeBiden's win of the #USPresidentialElections, Chinese state media said relations could be restored to a state of greater predictability and could start with trade  #USElectionOnWION https//t.co/Qr51VEsWo7",,WIONews,Mon Nov 09 03:15:00 +0000 2020,XXXX,99999.99,99999.99, positive 
"Note... Take away the platform, you take away his power to disrupt. Keep giving him air time and you are indirectly helping him wreak havoc   #USElection2020 #USElectionResults2020",,MainebowGirl,Mon Nov 09 03:15:21 +0000 2020,XXXX,99999.99,99999.99,negative
Wonder how Leslie Knope is handling the news?!  #JoeBiden #USElection2020  #ParksandRec https//t.co/K755fOKZjw,,88funsize,Mon Nov 09 03:16:23 +0000 2020,XXXX,99999.99,99999.99,neutral
And u did  ,,HornyAnbu,Mon Nov 09 03:18:04 +0000 2020,XXXX,99999.99,99999.99,neutral
Always love discussing US politics w/@MichaelSerapio and @davelevinthal on @CBCNews,,linda_feldmann,Mon Nov 09 03:18:15 +0000 2020,XXXX,99999.99,99999.99, positive 
Yes..Yes.. Yes..!,,Roynivi3,Mon Nov 09 03:18:29 +0000 2020,XXXX,99999.99,99999.99, positive 
A close election would have been 270 EC votes to 268.  A close election would have been 72.950 million popular votes to 72.050 million.  Actual likely result (give or take a tiny bit) 306 EC votes to 232. 75 million to 70 million.  This election was NOT close. #USElection2020,,helliven2006,Mon Nov 09 03:18:41 +0000 2020,XXXX,99999.99,99999.99, positive 
Twitter has a good sense of humour #TrumpOut #USElectionResults2020 #USElection https//t.co/crjt8J9lGk,,poliwath2,Mon Nov 09 03:19:14 +0000 2020,XXXX,99999.99,99999.99, positive 
Congratulations to @JoeBiden &amp; @KamalaHarris on being elected President &amp; VP-elect of the US! #USAElection2020,,nishant53714061,Mon Nov 09 03:19:26 +0000 2020,XXXX,99999.99,99999.99, positive 
CNN anchor cries with relief while delivering stunning monologue about Biden defeating Trump https//t.co/YGzOAI3VYI #USElectionResults2020,,raj_gauba,Mon Nov 09 03:20:32 +0000 2020,XXXX,99999.99,99999.99, positive 
Future President,,vikasbhansali,Mon Nov 09 03:20:34 +0000 2020,XXXX,99999.99,99999.99,neutral
"Con't 1 CTTO @beezknez @minibtweet @OscartheOrange #USAelection2020  As soon as Biden clinches 270 votes &amp; officially declared by all returning officers in d states d ff happens At midday on Jan 20 all d power organs of US cut official com w/ Trump pentagon, CIA, FBI,  Atty Gen",,Ysabeluna,Mon Nov 09 03:20:38 +0000 2020,XXXX,99999.99,99999.99, positive 
#MAGA #bidenharis2020 is this Right wing supporter from India a disgruntled #Bollywood actress and now a   #KanganaRanaut sane enough to say this? @JoeBiden @KamalaHarris @realDonaldTrump #Trump #hagarthehorrible #Biden #USElection2020,,SicilianSpeake1,Mon Nov 09 03:21:20 +0000 2020,XXXX,99999.99,99999.99, positive 
Blown Away Trump!  #Trinitysecurities #USElection2020 #JoebidenWins #JoeBiden https//t.co/W4BejJuMji,,Tum_Dhanong,Mon Nov 09 03:21:33 +0000 2020,XXXX,99999.99,99999.99,neutral
  #POTUS46 @JoeBiden   #VP46 @KamalaHarris  #Democracy #HumanRights #CivilRights #EqualRights #Women's Rights #LGBTQ Rights #Veteran's Rights #DisabilityRights #Healthcare #Education #Science #Environment #SmallBusiness   and more    https//t.co/6EoNPHwu6G | @Transition46 https//t.co/KLkERa7SpH,,Rosenchild,Mon Nov 09 03:22:04 +0000 2020,XXXX,99999.99,99999.99,neutral
@BreitbartNews #TomWolf is stealing the election #USElectionResults2020 #Trump,,2020elerS,Mon Nov 09 03:22:19 +0000 2020,XXXX,99999.99,99999.99,negative
There s lots of great reading in the latest RealKM Weekly Wrap!   #km #kmers #knowledgemanagement #journals #predatory #sustainability #sustainabledevelopment  #uselection2020 #vote2020 #learning #standards #nudging #nudge #nudges #nudgetheory #complexity #complex #sensemaking,,BruceBoyes,Mon Nov 09 03:22:52 +0000 2020,XXXX,99999.99,99999.99, positive 
This is why the Electoral College needs to go,,manda_moo3,Mon Nov 09 03:23:05 +0000 2020,XXXX,99999.99,99999.99,neutral
Sometimes a Venn diagram tells the strongest story #USElectionResults2020 https//t.co/k8FRhfZIGV,,tomswanston,Mon Nov 09 03:23:49 +0000 2020,XXXX,99999.99,99999.99, positive 
Where as we have media crawling on the floor already like arnab.,,jijoy,Mon Nov 09 03:24:02 +0000 2020,XXXX,99999.99,99999.99, positive 
